ProductID,Category,Product Name,Price
C1,Cameras,Sony NEX6,1199
C2,Cameras,Canon 7D,2999
C3,Cameras,Canon EOS 1100D,418
W1,WhiteGoods,LG Fridge,670
W2,WhiteGoods,Breville Toaster,99
A1,Audio,Sony Speakers,499
A2,Audio,Sennheiser Headphones,299
A3,Audio,Bose QC15 Headphones,329
CT1,Computers and Tablets,Apple iPad Air,599
CT2,Computers and Tablets,Apple Macbook Pro,1899
CT3,Computers and Tablets,Toshiba Laptop,1399
CT4,Computers and Tablets,Apple iPad Mini,499
CT5,Computers and Tablets,Apple Mac Pro,2999
CT6,Computers and Tablets,Samsung Galaxy Tab,699
CT7,Computers and Tablets,Asus Sub-notebook,498
CT8,Computers and Tablets,Brother Laser Printer,399
CT9,Computers and Tablets,Seagate External HDD 1TB,129
